order_type,orders,success_rate,avg_price_rub,median_price_rub,p90_price_rub
Авиабилеты,615337,0.9688284631023325,16072.8605479599,10189.0,31112.400000000023
Отели,171548,0.9547998227901229,11968.646093221721,5631.5,26089.0
,49053,0.0,,,
